model_setting,accuracy,auc,precision,recall
RLL_l1_1024_l2_128_lr_0.05_penalty_5.0_bs_512,0.8539325842696629,0.9033045977011495,0.8790322580645161,0.9083333333333333
RLL_l1_1024_l2_64_lr_0.05_penalty_10.0_bs_1024,0.8539325842696629,0.9027298850574713,0.8852459016393442,0.9
RLL_l1_128_l2_128_lr_0.05_penalty_10.0_bs_128,0.8539325842696629,0.9027298850574712,0.8916666666666667,0.8916666666666667
RLL_l1_64_l2_32_lr_0.05_penalty_5.0_bs_1024,0.8539325842696629,0.9021551724137932,0.8983050847457628,0.8833333333333333
RLL_l1_512_l2_32_lr_0.05_penalty_10.0_bs_512,0.8539325842696629,0.9011494252873563,0.8852459016393442,0.9
RLL_l1_128_l2_32_lr_0.05_penalty_5.0_bs_1024,0.8539325842696629,0.8999999999999999,0.8852459016393442,0.9
RLL_l1_256_l2_64_lr_0.05_penalty_1.0_bs_256,0.8539325842696629,0.8998563218390805,0.8983050847457628,0.8833333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_5.0_bs_512,0.8539325842696629,0.8994252873563219,0.8916666666666667,0.8916666666666667
RLL_l1_256_l2_64_lr_0.05_penalty_1.0_bs_128,0.8539325842696629,0.8956896551724138,0.8916666666666667,0.8916666666666667
RLL_l1_1024_l2_32_lr_0.05_penalty_5.0_bs_128,0.848314606741573,0.9130747126436782,0.8780487804878049,0.9
RLL_l1_256_l2_32_lr_0.05_penalty_5.0_bs_256,0.848314606741573,0.912787356321839,0.8842975206611571,0.8916666666666667
RLL_l1_256_l2_128_lr_0.05_penalty_5.0_bs_512,0.848314606741573,0.9123563218390804,0.8780487804878049,0.9
RLL_l1_1024_l2_32_lr_0.05_penalty_5.0_bs_256,0.848314606741573,0.9120689655172414,0.8780487804878049,0.9
RLL_l1_1024_l2_128_lr_0.05_penalty_1.0_bs_256,0.848314606741573,0.9107758620689655,0.8842975206611571,0.8916666666666667
RLL_l1_128_l2_64_lr_0.05_penalty_5.0_bs_128,0.848314606741573,0.910632183908046,0.8907563025210085,0.8833333333333333
RLL_l1_1024_l2_64_lr_0.05_penalty_10.0_bs_256,0.848314606741573,0.9102011494252873,0.8780487804878049,0.9
RLL_l1_256_l2_64_lr_0.05_penalty_10.0_bs_512,0.848314606741573,0.9100574712643679,0.8842975206611571,0.8916666666666667
RLL_l1_256_l2_32_lr_0.05_penalty_10.0_bs_256,0.848314606741573,0.9100574712643679,0.8842975206611571,0.8916666666666667
RLL_l1_128_l2_32_lr_0.05_penalty_5.0_bs_128,0.848314606741573,0.909051724137931,0.8842975206611571,0.8916666666666667
RLL_l1_1024_l2_128_lr_0.05_penalty_1.0_bs_128,0.848314606741573,0.909051724137931,0.8842975206611571,0.8916666666666667
RLL_l1_256_l2_256_lr_0.05_penalty_10.0_bs_1024,0.848314606741573,0.9089080459770115,0.8780487804878049,0.9
RLL_l1_256_l2_128_lr_0.05_penalty_1.0_bs_256,0.848314606741573,0.9086206896551724,0.8907563025210085,0.8833333333333333
RLL_l1_128_l2_64_lr_0.05_penalty_1.0_bs_512,0.848314606741573,0.9077586206896552,0.8842975206611571,0.8916666666666667
RLL_l1_512_l2_128_lr_0.05_penalty_1.0_bs_1024,0.848314606741573,0.9074712643678161,0.8842975206611571,0.8916666666666667
RLL_l1_64_l2_32_lr_0.05_penalty_5.0_bs_128,0.848314606741573,0.907183908045977,0.8974358974358975,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_10.0_bs_256,0.848314606741573,0.9068965517241379,0.8842975206611571,0.8916666666666667
RLL_l1_512_l2_128_lr_0.05_penalty_0.1_bs_512,0.848314606741573,0.9057471264367817,0.8907563025210085,0.8833333333333333
